Total,Lat,Lon
15,25.0527588,121.5315127
6,25.0527588,121.5315127
20,25.0473193,121.539057
9,25.0455085,121.5393547
13,25.0459506,121.5399138
6,25.0462648,121.5541689
5,25.0489149,121.5550777
3,25.0494362,121.5672872
16,25.0440041,121.5350627
6,25.0473419,121.5379799
15,25.0490975,121.5474539
11,25.0468781,121.5411405
17,25.0468781,121.5411405
12,25.0500356,121.5649528
15,25.0487856,121.5566821
10,25.0497425,121.5701925
96,25.0283164,121.5105614
13,25.0570964,121.5636183
36,25.0573398,121.5625947
11,25.0574738,121.5642266
2,25.0579684,121.5626474
24,25.0605944,121.5641301
32,25.0613183,121.562274
30,25.0619525,121.5637785
44,25.0617169,121.5621912
41,25.0624771,121.5645934
2,25.0555113,121.5631763
1,25.0546226,121.5645673
16,25.0552024,121.5646603
14,25.0589914,121.6141958
12,24.9974456,121.5427602
14,24.9960719,121.5419916
88,25.1127502,121.5332571
9,25.1112799,121.5338442
17,25.1124217,121.5374437
16,25.113176,121.5295148
6,25.112865,121.5302255
51,25.1127502,121.5332571
40,25.0929531,121.5182266
18,25.0929531,121.5182266
47,25.0391667,121.5460698
47,25.0309894,121.5460728
18,25.0900093,121.5255087
73,25.082703,121.5463673
15,25.0828752,121.5453104
11,25.034375,121.4987555
16,25.0328796,121.4939493
8,25.0322495,121.4930855
8,25.0319064,121.4941583
4,25.034405,121.4952567
122,25.0864192,121.601561
40,25.0405967,121.5825862
11,25.0396419,121.5820931
24,25.0679833,121.515897
4,25.0677077,121.5166162
3,25.0664234,121.5165816
10,25.0673045,121.5165933
10,25.0905691,121.5255844
3,25.0617034,121.5243704
2,25.0531705,121.524202
1,25.0650783,121.5216063
20,25.1025289,121.5254576
20,25.1230464,121.532683
85,25.1242154,121.5301738
15,25.1198067,121.5332956
10,25.1252512,121.5352366
31,25.1255127,121.5316476
5,25.1320758,121.5327399
15,25.127743,121.5328946
62,25.1268162,121.5342531
40,25.1230493,121.5320811
10,25.0489616,121.5232386
59,25.1230493,121.5320811
7,25.0539513,121.5241555
1,25.0554563,121.5249582
54,25.0574859,121.5243294
4,25.0692116,121.5231829
14,25.091627,121.5275544
36,25.091627,121.5275544
143,25.1106398,121.5256113
2,25.1033322,121.5273638
13,25.1154154,121.5266456
60,24.9996148,121.4852335
25,24.9996148,121.4852335
17,25.0472818,121.5807107
37,25.0422056,121.5843871
15,25.0416353,121.5858117
5,25.0430445,121.5841334
11,25.0598148,121.5289285
5,25.0385252,121.5081183
15,25.0382686,121.5079126
73,24.9736866,121.4379734
12,25.0294858,121.5036053
3,25.0282894,121.5067508
35,25.0284601,121.5042747
11,25.034981,121.5069844
61,25.0269515,121.5037329
14,25.0252804,121.5100842
7,25.026363,121.5067476
26,25.0336055,121.5068715
12,25.0392168,121.5245386
1,25.0674352,121.6143103
9,25.0565387,121.517549
72,25.0642971,121.541545
7,25.0662106,121.5396509
12,25.0357279,121.5359589
3,25.0396455,121.5517991
5,25.0369297,121.5568981
2,25.0366086,121.5609626
64,25.0387565,121.5215936
45,25.038317,121.529055
11,25.0398176,121.5430347
26,25.0384018,121.5388404
40,25.0384018,121.5388404
19,25.0370575,121.5522172
27,25.0368259,121.5592082
7,25.0378512,121.550819
4,25.0379208,121.5535878
31,25.0415677,121.5035245
28,25.0840457,121.5635168
13,25.0836952,121.564253
26,25.0842133,121.5669326
66,25.0845017,121.5680231
33,25.0831028,121.5705126
66,25.0837266,121.5717969
28,25.0824888,121.5718497
17,25.0841425,121.5713002
25,25.0869649,121.5587429
12,25.0881699,121.5592657
9,25.0869052,121.559627
39,25.081514,121.5755294
8,25.0817651,121.5745797
6,25.080507,121.5760766
35,25.081533,121.579196
11,25.0882537,121.5626339
16,25.0856126,121.563129
7,25.088193,121.5617188
101,25.0810743,121.5863205
54,25.0822026,121.5811362
51,25.0842638,121.5852896
3,25.0832555,121.5910394
2,25.0904738,121.5818993
8,25.085787,121.5919426
19,25.0870727,121.5922493
34,25.087635,121.5912406
11,25.0821179,121.562486
1,25.0816205,121.5683589
