Name,Total,Usage,Lat,Lon
台北市一江街A,15,1,25.0527588,121.53151270000001
台北市一江街B,6,0.5,25.0527588,121.53151270000001
台北市八德路2段199巷,20,0.95,25.0473193,121.53905699999996
台北市八德路2段210巷,9,0.78,25.0455085,121.53935469999999
台北市八德路2段218巷,13,0.38,25.0459506,121.53991380000002
台北市八德路3段106巷,6,0.83,25.0462648,121.55416889999992
台北市八德路3段155巷,5,0.8,25.0489149,121.55507769999997
台北市八德路4段333巷,3,0,25.0494362,121.56728720000001
台北市八德路二段10巷,16,0.5,25.0440041,121.53506270000003
台北市八德路二段167巷,6,0.67,25.0473419,121.53797989999998
台北市八德路二段451巷,15,0.93,25.0490975,121.54745389999994
台北市八德路二段A,11,0.45,25.0468781,121.54114049999998
台北市八德路二段B,17,1,25.0468781,121.54114049999998
台北市八德路三段,12,1,25.0500356,121.56495280000001
台北市八德路三段199巷1弄,15,0.73,25.0487856,121.55668209999999
台北市八德路四段,10,0.9,25.0497425,121.57019250000008
台北市三元街,96,0.66,25.0283164,121.51056140000003
台北市三民路,13,0.62,25.0570964,121.56361830000003
台北市三民路101巷B,36,0.89,25.0573398,121.56259469999998
台北市三民路102巷,11,0.64,25.0574738,121.56422659999998
台北市三民路113巷,2,1,25.0579684,121.56264740000006
台北市三民路136巷,24,0.83,25.0605944,121.56413010000006
台北市三民路155巷B,32,0.53,25.0613183,121.562274
台北市三民路166巷,30,0.37,25.0619525,121.56377850000001
台北市三民路167巷,44,0.3,25.0617169,121.56219120000003
台北市三民路180巷,41,0.59,25.0624771,121.56459340000004
台北市三民路35巷,2,1,25.0555113,121.56317630000001
台北市三民路62巷,1,0,25.0546226,121.56456730000002
台北市三民路68巷,16,0.94,25.0552024,121.56466030000001
台北市三重路,14,1,25.0589914,121.61419580000006
台北市三福街,12,0.75,24.9974456,121.54276019999998
台北市三福街4巷,14,0.57,24.9960719,121.54199160000007
台北市士東路,88,0.83,25.1127502,121.53325710000001
台北市士東路200巷,9,0.89,25.1112799,121.53384419999998
台北市士東路286巷,17,0.94,25.1124217,121.53744370000004
台北市士東路91巷,16,0.94,25.113176,121.52951480000002
台北市士東路91巷26弄,6,1,25.112865,121.53022550000003
台北市士東路A,51,0.92,25.1127502,121.53325710000001
台北市士商路A,40,0.45,25.0929531,121.51822659999993
台北市士商路B,18,0.89,25.0929531,121.51822659999993
台北市大安路一段,47,0.96,25.0391667,121.54606979999994
台北市大安路二段,47,0.98,25.0309894,121.54607280000005
台北市大東路,18,1,25.0900093,121.52550870000005
台北市大直街,73,1,25.082703,121.54636729999993
台北市大直街62巷,15,0.93,25.0828752,121.54531040000006
台北市大理街,11,1,25.034375,121.49875550000002
台北市大理街160巷,16,1,25.0328796,121.49394929999994
台北市大理街160巷23弄,8,0,25.0322495,121.4930855
台北市大理街160巷26弄,8,0.12,25.0319064,121.49415829999998
台北市大理街175巷,4,0.75,25.034405,121.49525670000003
台北市大湖山莊街,122,0.45,25.0864192,121.60156099999995
台北市大道路,40,0.72,25.0405967,121.58258619999992
台北市大道路96巷,11,1,25.0396419,121.58209310000007
台北市大龍街,24,0.88,25.0679833,121.515897
台北市大龍街159巷18弄,4,0.75,25.0677077,121.51661620000004
台北市大龍街85巷,3,0,25.0664234,121.5165816
台北市大龍街91巷,10,0.7,25.0673045,121.51659330000007
台北市小北街,10,0.9,25.0905691,121.52558440000007
台北市中山北路2段137巷,3,0.67,25.0617034,121.52437039999995
台北市中山北路2段27巷,2,0.5,25.0531705,121.52420200000006
台北市中山北路3段36巷14弄,1,1,25.0650783,121.52160630000003
台北市中山北路5段6段,20,0.8,25.1025289,121.52545759999998
台北市中山北路7段140巷,20,0,25.1230464,121.53268300000002
台北市中山北路7段141巷,85,0.32,25.1242154,121.53017380000006
台北市中山北路7段14巷,15,0.73,25.1198067,121.53329559999997
台北市中山北路7段190巷26弄,10,0.2,25.1252512,121.53523659999996
台北市中山北路7段191巷,31,0.32,25.1255127,121.53164760000004
台北市中山北路7段219巷,5,0.4,25.1320758,121.53273990000002
台北市中山北路7段227巷,15,0.27,25.127743,121.53289459999996
台北市中山北路7段232巷,62,0.34,25.1268162,121.5342531
台北市中山北路7段A,40,0.42,25.1230493,121.53208110000003
