Name,Usage,Lat,Lon
台北市一江街A,1,25.0527588,121.5315127
台北市一江街B,0.5,25.0527588,121.5315127
台北市八德路2段199巷,0.95,25.0473193,121.539057
台北市八德路2段210巷,0.78,25.0455085,121.5393547
台北市八德路2段218巷,0.38,25.0459506,121.5399138
台北市八德路3段106巷,0.83,25.0462648,121.5541689
台北市八德路3段155巷,0.8,25.0489149,121.5550777
台北市八德路4段333巷,0,25.0494362,121.5672872
台北市八德路二段10巷,0.5,25.0440041,121.5350627
台北市八德路二段167巷,0.67,25.0473419,121.5379799
台北市八德路二段451巷,0.93,25.0490975,121.5474539
台北市八德路二段A,0.45,25.0468781,121.5411405
台北市八德路二段B,1,25.0468781,121.5411405
台北市八德路三段,1,25.0500356,121.5649528
台北市八德路三段199巷1弄,0.73,25.0487856,121.5566821
台北市八德路四段,0.9,25.0497425,121.5701925
台北市三元街,0.66,25.0283164,121.5105614
台北市三民路,0.62,25.0570964,121.5636183
台北市三民路101巷B,0.89,25.0573398,121.5625947
台北市三民路102巷,0.64,25.0574738,121.5642266
台北市三民路113巷,1,25.0579684,121.5626474
台北市三民路136巷,0.83,25.0605944,121.5641301
台北市三民路155巷B,0.53,25.0613183,121.562274
台北市三民路166巷,0.37,25.0619525,121.5637785
台北市三民路167巷,0.3,25.0617169,121.5621912
台北市三民路180巷,0.59,25.0624771,121.5645934
台北市三民路35巷,1,25.0555113,121.5631763
台北市三民路62巷,0,25.0546226,121.5645673
台北市三民路68巷,0.94,25.0552024,121.5646603
台北市三重路,1,25.0589914,121.6141958
台北市三福街,0.75,24.9974456,121.5427602
台北市三福街4巷,0.57,24.9960719,121.5419916
台北市士東路,0.83,25.1127502,121.5332571
台北市士東路200巷,0.89,25.1112799,121.5338442
台北市士東路286巷,0.94,25.1124217,121.5374437
台北市士東路91巷,0.94,25.113176,121.5295148
台北市士東路91巷26弄,1,25.112865,121.5302255
台北市士東路A,0.92,25.1127502,121.5332571
台北市士商路A,0.45,25.0929531,121.5182266
台北市士商路B,0.89,25.0929531,121.5182266
台北市大安路一段,0.96,25.0391667,121.5460698
台北市大安路二段,0.98,25.0309894,121.5460728
台北市大東路,1,25.0900093,121.5255087
台北市大直街,1,25.082703,121.5463673
台北市大直街62巷,0.93,25.0828752,121.5453104
台北市大理街,1,25.034375,121.4987555
台北市大理街160巷,1,25.0328796,121.4939493
